Alu-Schale;Pflanze;Versuchs-gruppe;Wuchs, mm;;;;;;;;;;;;;;;;;
;;;3/5/16;3/6/16;3/7/16;3/8/16;3/9/16;3/10/16;3/11/16;3/12/16;3/13/16;3/14/16;3/15/16;3/16/16;3/17/16;3/18/16;3/19/16;3/20/16;3/21/16;3/22/16
;;;Tag 1;Tag 2;Tag 3;Tag 4;Tag 5;Tag 6;Tag 7;Tag 8;Tag 9;Tag 10;Tag 11;Tag 12;Tag 13;Tag 14;Tag 15;Tag 16;Tag 17;Tag 18
;IB40;B-;20;20;25;25;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IB41;B-;30;45;50;55;w;t;t;t;t;t;t;t;t;t;t;t;t;t
;IB42;B-;37;50;52;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t
IC1;IC1;C-;10;10;10;13;19;22;w;w;t;t;t;t;t;t;t;t;t;t
;IC2;C-;15;20;25;31;33;36;39;w;w;w;w;w;w;t;t;t;t;t
;IC3;C-;10;28;38;44;50;53;54;w;w;w;t;t;t;t;t;t;t;t
;IC5;C-;45;55;61;61;w;w;w;w;t;t;t;t;t;t;t;t;t;t
;IC6;C-;8;13;18;27;w;w;w;w;t;t;t;t;t;t;t;t;t;t
IC2;IC7;C-;28;40;52;60;62;w;w;t;t;t;t;t;t;t;t;t;t;t
;IC8;C-;17;17;22;22;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IC11;C-;13;13;20;22;24;27;w;w;w;t;t;t;t;t;t;t;t;t
;IC12;C-;38;43;57;63;63;w;w;w;w;t;t;t;t;t;t;t;t;t
IC3;IC13;C+;20;25;28;34;34;w;w;w;t;t;t;t;t;t;t;t;t;t
;IC14;C+;28;45;51;54;57;68;71;80;83;83;w;w;w;w;w;t;t;t
;IC15;C+;15;18;26;28;28;28;w;w;t;t;t;t;t;t;t;t;t;t
;IC16;C+;10;30;35;37;37;w;w;w;w;w;t;t;t;t;t;t;t;t
;IC17;C+;18;30;33;36;37;40;45;50;52;52;w;w;w;w;w;t;t;t
;IC18;C+;60;64;68;75;75;81;84;92;100;103;w;w;w;w;w;t;t;t
IC4;IC19;C+;28;28;38;38;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IC20;C+;20;25;31;31;33;w;w;w;t;t;t;t;t;t;t;t;t;t
