Alu-Schale;Pflanze;Versuchs-gruppe;Wuchs, mm;;;;;;;;;;;;;;;;;
;;;3/25/16;3/26/16;3/27/16;3/28/16;3/29/16;3/30/16;3/31/16;4/1/16;4/2/16;4/3/16;4/4/16;4/5/16;4/6/16;4/7/16;4/8/16;4/9/16;;
;;;Tag 1;Tag 2;Tag 3;Tag 4;Tag 5;Tag 6;Tag 7;Tag 8;Tag 9;Tag 10;Tag 11;Tag 12;Tag 13;Tag 14;Tag 15;Tag 16;;
;IIB10;B+;26;35;39;49;53;57;58;60;w;w;w;w;w;w;t;t;;
;IIB11;B+;14;15;24;25;27;28;w;w;w;t;t;t;t;t;t;t;;
;IIB12;B+;10;15;26;27;30;31;w;w;w;w;w;w;w;t;t;t;;
IIB3*;IIB13;B-;5;10;10;w;w;t;t;t;t;t;t;t;t;t;t;t;;
;IIB14;B-;8;15;21;w;w;w;t;t;t;t;t;t;t;t;t;t;;
;IIB15;B-;12;24;31;39;43;44;48;48;52;54;54;w;w;w;w;t;;
;IIB16;B-;19;24;33;44;46;50;50;50;50;53;53;w;w;w;w;t;;
;IIB17;B-;15;24;32;40;45;48;50;56;58;58;w;w;w;w;w;t;;
;IIB18;B-;19;26;34;43;47;50;50;51;53;53;w;w;w;w;w;t;;
IIB4;IIB19;B+;19;25;33;41;43;44;49;49;49;49;w;w;w;w;w;t;;
;IIB20;B+;21;28;35;44;45;45;48;48;48;w;w;w;w;w;t;t;;
;IIB21;B+;20;33;40;44;45;45;48;w;w;w;w;w;w;w;w;t;;
;IIB22;B+;22;29;36;41;47;47;47;50;w;w;w;w;w;t;t;t;;
;IIB23;B+;20;39;42;44;46;47;51;w;w;w;w;w;w;w;w;t;;
;IIB24;B+;20;24;30;35;36;36;38;40;40;w;w;w;w;w;w;w;;
IIB5;IIB25;B-;15;25;31;34;34;37;40;40;40;w;w;w;w;w;t;t;;
;IIB26;B-;10;13;13;13;13;w;w;w;w;w;t;t;t;t;t;t;;
;IIB27;B-;18;29;35;35;36;38;39;39;w;w;w;w;w;t;t;t;;
;IIB28;B-;16;24;28;29;30;32;34;34;w;w;w;w;w;t;t;t;;
;IIB29;B-;21;32;36;36;36;36;36;w;w;w;w;t;t;t;t;t;;
;IIB30;B-;6;6;7;7;7;w;w;w;t;t;t;t;t;t;t;t;;
IIB6*;IIB31;B+;5;26;34;42;49;54;54;55;58;58;58;59;59;w;w;w;;
;IIB32;B+;12;24;29;31;33;33;34;34;34;w;w;w;t;t;t;t;;
;IIB33;B+;11;34;40;48;52;56;59;59;59;59;59;59;w;w;w;w;;
;IIB34;B+;9;20;35;35;35;35;35;35;w;w;w;w;w;w;t;t;;
;IIB35;B+;15;24;32;39;44;45;46;47;48;49;49;49;49;w;w;w;;
;IIB36;B+;12;30;45;45;47;48;50;50;51;51;51;52;52;w;w;w;;
IIB7;IIB37;B-;10;25;37;47;49;49;54;w;w;w;w;w;t;t;t;t;;
;IIB38;B-;11;23;26;30;32;33;36;37;w;w;w;w;t;t;t;t;;
;IIB39;B-;5;19;29;38;41;45;45;w;w;w;w;w;w;t;t;t;;
;IIB40;B-;15;30;36;39;39;40;42;42;w;w;w;w;w;t;t;t;;
;IIB42;B-;5;28;40;47;47;48;50;w;w;w;w;w;w;w;t;t;;
IIB8;IIB43;B-;11;24;36;47;52;53;56;w;w;w;w;t;t;t;t;t;;
;IIB44;B-;15;23;30;37;41;42;42;43;w;w;w;w;t;t;t;t;;
;IIB45;B-;18;30;36;47;51;54;55;56;w;w;w;w;w;w;t;t;;
;IIB46;B-;12;24;32;39;40;40;41;42;w;w;w;w;t;t;t;t;;
;IIB47;B-;16;29;38;45;47;47;48;50;w;w;w;w;w;w;t;t;;
;IIB48;B-;4;9;11;w;w;w;t;t;t;t;t;t;t;t;t;t;;
IIB9*;IIB49;B+;10;19;25;34;35;36;w;w;w;w;w;w;t;t;t;t;;
;IIB50;B+;18;30;39;50;57;61;64;65;66;68;69;69;69;w;w;w;;
;IIB51;B+;14;20;24;34;35;38;39;39;42;43;44;44;w;w;w;w;;
;IIB52;B+;14;25;37;48;53;58;58;58;58;60;60;60;60;w;w;w;;
;IIB53;B+;11;33;37;44;49;53;53;53;53;53;53;53;53;w;w;w;;
;IIB54;B+;22;38;47;48;52;52;52;52;54;54;54;54;54;w;w;w;;
IIB10;IIB55;B-;15;24;33;41;45;47;47;48;w;w;w;w;t;t;t;t;;
;IIB56;B-;12;19;19;24;24;28;w;w;w;t;t;t;t;t;t;t;;
;IIB57;B-;20;25;32;34;34;35;36;37;w;w;w;w;w;t;t;t;;
;IIB58;B-;10;30;37;37;37;37;39;40;w;w;w;w;w;w;w;t;;
;IIB59;B-;20;34;35;42;42;42;44;w;w;w;w;w;w;w;t;t;;
;IIB60;B-;15;21;26;31;33;33;w;w;w;w;w;w;w;w;t;t;;
IID1;IID1;D;14;24;29;34;40;44;44;45;46;49;52;53;53;56;w;w;;
;IID3;D;21;33;39;47;50;53;53;53;54;56;60;62;65;66;67;70;;
;IID4;D;10;23;27;32;33;34;35;35;35;38;39;43;43;43;w;w;;
;IID5;D;19;25;28;34;34;39;39;39;39;39;w;w;w;w;w;w;;
;IID6;D;11;32;33;34;35;36;37;37;37;37;37;37;37;37;40;42;;
IID2;IID7;D;20;33;34;35;38;44;52;59;69;78;86;90;94;97;99;100;;
;IID8;D;20;34;37;48;48;48;52;52;59;63;68;69;72;76;76;76;;
;IID9;D;20;29;33;40;43;46;52;60;70;78;87;92;93;97;99;99;;
;IID10;D;21;28;36;44;46;54;60;65;74;80;85;91;95;95;95;96;;
;IID11;D;11;26;32;43;45;54;57;63;73;74;83;85;88;91;92;94;;
;IID12;D;15;31;39;49;50;59;63;75;83;90;98;101;110;111;114;115;;
IID3;IID13;D;10;29;34;36;38;38;38;39;39;42;50;50;50;50;53;53;;
;IID14;D;23;33;36;40;40;40;41;44;45;46;46;46;w;w;w;w;;
;IID15;D;13;19;24;w;w;w;w;w;w;w;t;t;t;t;t;t;;
;IID16;D;13;30;32;40;40;43;43;43;46;47;47;w;w;w;w;w;;
;IID17;D;5;10;19;25;25;26;26;26;w;w;t;t;t;t;t;t;;
;IID18;D;11;30;34;36;39;40;41;44;44;45;46;49;50;50;w;w;;
IID4;IID19;D;19;30;34;39;40;44;51;53;54;59;62;64;66;70;72;73;;
;IID20;D;16;24;25;26;26;28;28;29;33;34;38;38;40;50;52;52;;
;IID21;D;20;22;25;29;29;31;31;32;33;33;34;34;34;36;36;36;;
;IID22;D;7;18;26;29;w;w;w;w;w;t;t;t;t;t;t;t;;
;IID23;D;6;9;11;w;w;w;t;t;t;t;t;t;t;t;t;t;;
;IID24;D;14;30;36;44;48;54;54;55;58;58;63;63;64;65;65;66;;
IID5;IID25;D;20;35;40;48;50;58;64;65;73;78;84;87;92;93;95;99;;
;IID26;D;14;20;24;30;34;34;38;38;42;46;50;52;58;60;64;65;;
;IID27;D;12;29;40;44;47;48;48;48;50;54;54;55;56;w;w;w;;
;IID28;D;20;33;33;38;40;43;46;46;47;47;50;50;54;54;56;60;;
;IID29;D;15;19;20;20;21;22;24;24;25;25;25;25;25;w;w;w;;
;IID30;D;18;24;24;25;25;29;30;30;30;34;35;39;42;42;44;48;;
IID6;IID31;D;14;19;23;23;23;27;28;28;29;29;29;29;29;29;w;w;;
;IID32;D;20;28;29;34;35;w;w;w;w;w;w;w;t;t;t;t;;
;IID33;D;14;24;27;29;29;29;30;35;35;35;38;38;38;w;w;w;;
;IID34;D;6;21;25;25;w;w;w;w;w;w;w;w;w;t;t;t;;
;IID35;D;11;19;25;30;30;32;32;32;32;w;w;w;w;w;t;t;;
;IID36;D;16;23;24;29;29;31;31;33;35;36;37;37;37;37;38;40;;
IID7;IID38;D;16;23;25;28;28;30;30;30;34;34;34;34;34;w;w;w;;
;IID39;D;20;25;26;28;28;28;28;31;34;34;34;w;w;w;w;w;;
;IID40;D;4;4;4;4;w;t;t;t;t;t;t;t;t;t;t;t;;
;IID41;D;15;15;15;20;w;w;w;w;w;w;w;t;t;t;t;t;;
;IID42;D;27;34;35;40;40;40;42;42;42;42;43;43;44;44;46;49;;
IID8;IID43;D;20;28;38;47;48;51;55;62;69;72;74;78;84;86;88;88;;
;IID44;D;17;27;29;41;46;51;54;56;64;68;71;72;74;75;78;82;;
;IID45;D;9;12;21;30;33;34;35;36;38;43;43;43;43;w;w;w;;
;IID46;D;8;14;19;19;19;19;19;19;19;19;19;w;w;w;w;w;;
;IID47;D;10;19;24;28;28;29;30;30;34;34;34;36;36;39;40;41;;
;IID48;D;14;21;36;38;40;43;44;44;44;45;46;47;49;w;w;w;;
IID9;IID49;D;19;36;44;47;49;49;49;49;49;49;49;49;51;52;54;58;;
;IID50;D;25;37;42;45;45;45;45;46;46;51;51;51;53;53;54;60;;
;IID51;D;15;23;34;34;35;37;37;38;38;38;38;38;w;w;w;w;;
;IID52;D;24;24;27;29;29;29;29;33;33;33;33;35;35;w;w;w;;
;IID53;D;19;30;35;40;40;42;44;47;47;47;47;47;w;w;w;w;;
IID10;IID55;D;11;20;30;34;34;39;39;39;39;39;39;39;40;44;45;48;;
;IID56;D;20;28;34;42;42;45;47;48;50;53;54;57;60;62;64;67;;
;IID57;D;14;27;34;34;35;36;36;37;37;38;39;39;w;w;w;w;;
;IID58;D;18;24;31;37;37;40;41;42;43;44;46;46;46;46;48;48;;
;IID59;D;27;34;43;50;55;59;62;66;69;70;74;78;78;78;78;80;;
;IID60;D;19;20;24;25;26;29;29;29;29;30;30;w;w;w;w;t;;
